"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-01-05","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-01-06","74"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-01-07","64"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-01-09","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-01-10","74"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-01-11","64"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-01-12","65"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-01-17","77"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-01-19","77"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-01-23","76"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-01-24","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-01-25","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-01-26","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-01-27","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-01-28","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-01-29","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-01-30","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-01-31","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-02-01","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-02-02","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-02-03","75"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-02-04","74"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-02-05","69"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-02-06","78"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-02-07","74"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-02-08","69"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-02-09","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-02-10","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-02-11","64"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-02-12","64"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-02-13","68"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-02-14","69"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-02-15","67"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-02-16","75"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-02-17","65"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-02-18","68"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-02-20","73"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-02-21","75"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-02-22","74"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-02-23","66"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-02-24","65"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-02-25","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-02-26","74"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-02-27","68"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-02-28","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-03-01","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-03-02","67"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-03-03","67"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-03-04","65"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-03-06","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-03-08","74"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-03-09","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-03-10","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-03-11","67"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-03-13","73"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-03-17","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-03-18","73"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-03-19","75"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-03-20","74"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-03-21","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-03-25","69"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-03-26","66"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-03-27","70"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1995-03-28","68"
